name,company_name,country,region,city,address,postal,cfia_ref,website,primary_species,certifications,status,verified,verification_level,admin_notes,source_url,source_title,source_type,access_date,latitude,longitude,geocode_confidence,geocode_formatted
ALVIN & RUFIN BOUDREAU & SONS LTD. (CFIA Ref #2405),ALVIN & RUFIN BOUDREAU & SONS LTD.,Canada,New Brunswick,TROIS-RUISSEAUX,1724 ROUTE 950,E4N2Z6,2405,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.2180662,-64.2283781,9,"Route 950, Botsford Parish, NB E4N, Canada"
AMCO FISHERIES LTD. (PLANT #1) (CFIA Ref #2447),AMCO FISHERIES LTD. (PLANT #1),Canada,New Brunswick,BAS-CAP-PELÉ,915 ROUTE 950,E4N3B3,2447,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.2013798,-64.1919044,7,"Route 950, Botsford Parish, NB, Canada"
AMCO FISHERIES LTD (CFIA Ref #2407),AMCO FISHERIES LTD,Canada,New Brunswick,BAS-CAP-PELÉ,896 CHEMIN BAS-CAP-PELÉ,E4N1K3,2407,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.2316498,-64.282054,8,"Chemin Bas-Cap-Pelé, Botsford Parish, NB E4N, Canada"
B.A. RICHARD LTEE. (CFIA Ref #0134),B.A. RICHARD LTEE.,Canada,New Brunswick,STE. ANNE DE KENT,374 CHEMIN COTE SAINTE-ANNE,E4S1M6,0134,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.5757568,-64.7263166,8,"Chemin Côte Sainte-Anne, Town of Grand-Bouctouche, NB, Canada"
M. LeBlanc Fisheries Ltd. (CFIA Ref #1207),M. LeBlanc Fisheries Ltd.,Canada,New Brunswick,Petit-Cap,2112 Route 950,E4N2J8,1207,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.2180662,-64.2283781,9,"Route 950, Botsford Parish, NB E4N, Canada"
BOUDREAU FARM & SEA PRODUCTS LTD (CFIA Ref #2404),BOUDREAU FARM & SEA PRODUCTS LTD,Canada,New Brunswick,PETIT-CAP,1920 ROUTE 950,E4N2J2,2404,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.2013798,-64.1919044,7,"Route 950, Botsford Parish, NB, Canada"
ABRIEL FISHERIES COMPANY (CFIA Ref #0220),ABRIEL FISHERIES COMPANY,Canada,Nova Scotia,TANGIER,368 COOPER'S ROAD,B0J3H0,0220,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,44.80015,-62.69863,7,"Tangier, Nova Scotia, Canada"
COCAGNE SEAFOOD (1995) LTD. (CFIA Ref #2432),COCAGNE SEAFOOD (1995) LTD.,Canada,New Brunswick,COCAGNE,4638 ROUTE 134,E4R3R3,2432,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.6104187,-64.8151327,7,"Route 134, Richibucto Parish, NB, Canada"
QUIN-SEA FISHERIES LIMITED (CFIA Ref #0025),QUIN-SEA FISHERIES LIMITED,Canada,Newfoundland and Labrador,SOUTHERN HARBOUR,257-269 MARINE DRIVE,A0B3H0,0025,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.6575034,-52.724692,9,"Marine Drive, Torbay, NL A1K, Canada"
PRINCETON SEAWATER FISHERIES LIMITED (CFIA Ref #1119),PRINCETON SEAWATER FISHERIES LIMITED,Canada,Newfoundland and Labrador,PRINCETON,MAIN ROAD,A0C2K0,1119,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,48.4166,-53.59809,9,"Princeton, Newfoundland and Labrador, Canada"
