factory,company,location,website,species,capacity,certifications,byproduct,confidence_species,confidence_capacity,confidence_certifications,confidence_byproduct,evidence_urls,notes,cfia_ref
COLDFISH SEAFOODS COMPANY INC/FV SABLE MIST (CFIA Ref #6265),COLDFISH SEAFOODS COMPANY INC/FV SABLE MIST,"1670 EAST KENT AVENUE SOUTH, VANCOUVER, BC, V5P2S7, Canada",https://coldfish.ca/,"Multi-species seafood (Salmon, Crab, Tuna, Halibut, Cod)",Unknown,Unknown,Unknown,MEDIUM,LOW,LOW,LOW,https://coldfish.ca/ | https://coldfish.ca/contact-us/ | https://coldfish.ca/about-us/ | https://coldfish.ca,Verified from website text extraction,
COLDFISH SEAFOODS COMPANY INC/FV NORDIC RAND (CFIA Ref #6309),COLDFISH SEAFOODS COMPANY INC/FV NORDIC RAND,"1670 EAST KENT AVENUE SOUTH, VANCOUVER, BC, V5P2S7, Canada",https://coldfish-seafood-company-inc.wheree.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,https://coldfish.ca/ | https://coldfish.ca/contact-us/ | https://coldfish.ca/about-us/,Website found but pages not extractable / too thin,
COLDFISH SEAFOODS COMPANY INC/FV LASQUETI STAR (CFIA Ref #1D97),COLDFISH SEAFOODS COMPANY INC/FV LASQUETI STAR,"1-1670 E KENT AVE SOUTH, VANCOUVER, BC, V5P2S7, Canada",https://coldfish.ca/,"Multi-species seafood (Salmon, Crab, Tuna, Halibut, Cod)",Unknown,Unknown,Unknown,MEDIUM,LOW,LOW,LOW,https://coldfish.ca/ | https://coldfish.ca/contact-us/ | https://coldfish.ca/about-us/ | https://coldfish.ca,Verified from website text extraction,
COLDFISH SEAFOODS COMPANY INC/FV BRENDA-LIN (CFIA Ref #6288),COLDFISH SEAFOODS COMPANY INC/FV BRENDA-LIN,"1670 EAST KENT AVENUE SOUTH, VANCOUVER, BC, V5P2S7, Canada",https://coldfish-seafood-company-inc.wheree.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,https://coldfish.ca/ | https://coldfish.ca/contact-us/ | https://www.dnb.com/business-directory/company-profiles.coldfish_seafoods_company_inc.fd9f83b4de8e4d7c6cb36bf287f81f98.html,Website found but pages not extractable / too thin,
Champlain Seafoods Cape Breton Inc. O/A Petit de Grat Packers (CFIA Ref #3526),Champlain Seafoods Cape Breton Inc. O/A Petit de Grat Packers,"24 Alderney Point HWY 206, Petit De Grat, NS, B0E2L0, Canada",https://champlainseafood.com/our-companies/petit-de-grat/,"Lobster, Crab",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://champlainseafood.com/our-companies/petit-de-grat/ | https://champlainseafood.com/ | https://www.mapquest.com/ca/nova-scotia/petit-de-grat-packers-ltd-377355828 | https://champlainseafood.com/our-companies/petit-de-grat,Verified from website text extraction,
WORLDWIDE SEAFOODS (1997) LIMITED / F/V PACIFIC TITAN (CFIA Ref #6393),WORLDWIDE SEAFOODS (1997) LIMITED / F/V PACIFIC TITAN,"12 ORWELL STREET, NORTH VANCOUVER, BC, V7J2G1, Canada",https://worldwideseafoods.ca/,"Tuna, Halibut",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://worldwideseafoods.ca/ | https://worldwideseafoods.ca/contact.html | https://wwseafoods.com/about-us | https://worldwideseafoods.ca,Verified from website text extraction,
WORLDWIDE SEAFOODS (1997) LIMITED / F/V OCEAN EXPLORER (CFIA Ref #6392),WORLDWIDE SEAFOODS (1997) LIMITED / F/V OCEAN EXPLORER,"12 ORWELL STREET, NORTH VANCOUVER, BC, V7J2G1, Canada",https://worldwideseafoods.ca/,"Tuna, Halibut",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://worldwideseafoods.ca/ | https://worldwideseafoods.ca/contact.html | https://wwseafoods.com/about-us | https://worldwideseafoods.ca,Verified from website text extraction,
WORLDWIDE SEAFOODS (1997) LIMITED / F/V KEYTHERA (CFIA Ref #6391),WORLDWIDE SEAFOODS (1997) LIMITED / F/V KEYTHERA,"12 ORWELL STREET, NORTH VANCOUVER, BC, V7J2G1, Canada",https://worldwideseafoods.ca/,"Tuna, Halibut",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://worldwideseafoods.ca/ | https://worldwideseafoods.ca/contact.html | https://wwseafoods.com/about-us | https://worldwideseafoods.ca,Verified from website text extraction,
W. SEARS SEAFOODS LIMITED (CFIA Ref #LL32129),W. SEARS SEAFOODS LIMITED,"44 FISH PLANT ROAD, THE HAWK, NS, B0W1P0, Canada",https://www.novascotiaseafoodalliance.ca/w-sears-seafoods,Lobster,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://seastarseafoods.com/ | https://www.novascotiaseafoodalliance.ca/w-sears-seafoods | https://seastarseafoods.com/?page_id=11,Verified from website text extraction,
VIKING ALLIANCE SEAFOODS LTD. (CFIA Ref #6137),VIKING ALLIANCE SEAFOODS LTD.,"2-11771 HORSESHOE WAY, RICHMOND, BC, V7A 4V4, Canada",Unknown / not in CFIA list,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,No website found via search backend,
UCLUELET HARBOUR SEAFOODS LTD. (CFIA Ref #0940),UCLUELET HARBOUR SEAFOODS LTD.,"2074 PENINSULA ROAD, UCLUELET, BC, V0R3A0, Canada",https://avemployment.ca/sites/default/files/Pacific%20Seafood%20-%20Company%20Profile.pdf,Unknown,Unknown,SQF,Unknown,LOW,LOW,HIGH,LOW,https://www.facebook.com/UclueletHarbourSeafoodscareers/ | https://seafood.media/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=48807&submenu=info | https://www.mapquest.com/ca/british-columbia/ucluelet-harbour-seafoods-ltd-454859012 | https://avemployment.ca/sites/default/files/Pacific%20Seafood%20-%20Company%20Profile.pdf,Verified from website text extraction,
UCLUELET HARBOUR SEAFOODS LTD. (CFIA Ref #0798),UCLUELET HARBOUR SEAFOODS LTD.,"1661 CEDAR ROAD, UCLUELET, BC, V0R3A0, Canada",https://avemployment.ca/sites/default/files/Pacific%20Seafood%20-%20Company%20Profile.pdf,Unknown,Unknown,SQF,Unknown,LOW,LOW,HIGH,LOW,https://www.facebook.com/UclueletHarbourSeafoodscareers/ | https://seafood.media/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=48807&submenu=info | https://www.mapquest.com/ca/british-columbia/ucluelet-harbour-seafoods-ltd-454859012 | https://avemployment.ca/sites/default/files/Pacific%20Seafood%20-%20Company%20Profile.pdf,Verified from website text extraction,
