factory,company,location,website,species,capacity,certifications,byproduct,confidence_species,confidence_capacity,confidence_certifications,confidence_byproduct,evidence_urls,notes,cfia_ref
Westward Seafoods - Captains Bay Plant,"Westward Seafoods, Inc.","Captains Bay Road, PO Box 920608, Dutch Harbor, Alaska 99692, USA",https://www.westwardseafoods.com/,"Crab, Halibut, Cod",Unknown,Unknown,YES (Collagen/Gelatin),HIGH,LOW,LOW,HIGH,https://www.westwardseafoods.com,Verified from website text extraction,
Trident Seafoods - Wrangell Plant,Trident Seafoods,"641 Shakes St, PO Box 908, Wrangell, Alaska 99929, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - St. Paul Plant,Trident Seafoods,"1027 Harbor Road, PO Box 909, St. Paul, Alaska 99660, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - Seattle Pier 91 R&D,Trident Seafoods,"2001 W Garfield St, Bldg 391, Seattle, Washington 98119, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - Sand Point Plant,Trident Seafoods,"229 Main Street, PO Box 229, Sand Point, Alaska 99661, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - North Naknek Plant,Trident Seafoods,"1/2 Mile Post Peninsula Way, PO Box 139, Naknek, Alaska 99633, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - Motley Facility,Trident Seafoods,"1348 US-10, Motley, Minnesota 56466, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - Everett Facility,Trident Seafoods,"1930 Merrill Creek Pkwy B, Everett, Washington 98203, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - Dutch Harbor Support Center,Trident Seafoods,"1836 Ballyhoo Road, PO Box 920048, Dutch Harbor, Alaska 99692, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - Cordova Plant,Trident Seafoods,"301 Jim Poor Ave, Cordova, Alaska 99574, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
