entity_id,field,value,source_url,source_title,source_type,access_date,evidence_snippet,confidence
"1100","plant_name","Naik Seafoods Pvt.Ltd.","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1100","address","S.No.3A, H.No.3A/3B, At and Post Karla, Ratnagiri-415612","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1100","scope","Packing of Fresh/Chilled Fish & Fishery product, Freezing of Raw fish & Fishery Product (Block/IF)(Including Aquaculture)  
(Assessment over for Aquaculture on 06.08.2024)","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1100","expiry_date","13/10/2027","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1104","plant_name","Gadre Marine Export Pvt. Ltd.","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1104","address","Plot No. FP-1, MIDC, Mirjole Block, Ratnagiri-415639, Maharashtra, India","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1104","scope","(a) Processing, freezing, cooking of Surimi based shrimps, lobster, scallops, crab analogues their battered, breaded, par fried products and frozen storage.
(b) Processing, cooking, chilling of Surimi based imitation crab sticks, flakes, chunks and shreds and their chilled storage.
(c) Frozen breaded par fried fish finger, fish patty & frozen prawn curry
(d) Processing, freezing, cooking of Surimi based Chikuwa.  
(e) Frozen Surimi Premix (Uncooked).
(f) Freeze Dried Surimi Based Products (Freeze Dried Crab Bite)","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1104","expiry_date","08/03/2028","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1108","plant_name","Alps Ice & Cold Storage Pvt. Ltd.","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1108","address","No.30, APMC Yard, MAFCO Compound, Vashi, Navi Mumbai-400703","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1108","scope","Packing of  Fresh Chilled Fish & Fishery Products and Frozen (Block/ Individually Frozen/IQF), Raw/Blanched/Cooked Fish & Fishery Products","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1108","expiry_date","09/08/2027","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1109","plant_name","Silver Sea Food Unit-II","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1109","address","Survey No. 24/2,Javarnaka, Porbandar -360575, Gujarat, India","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1109","scope","Frozen (Block/IF-Blast/IQF) Raw/Blanched/Cooked Fish and Fishery Products (Including Aquaculture)","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1109","expiry_date","10/08/2027","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"111","plant_name","GADRE MARINE EXPORT","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"111","address","Plot No. 3298 - A, Mirkarwada, Ratnagiri - 415612, Maharashtra, India","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"111","scope","Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (IF-Blast/IQF) and Freezing of Blanched/Cooked Fish and Fishery Products(IQF) -Fishes (Histamine & Non- Histamine forming), Crustaceans -Shrimps (Aquaculture/Sea caught/Wild caught), Crabs (Sea caught), Lobster (Sea caught) & Cephalopods","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"111","expiry_date","15/08/2027","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
"1110","plant_name","Vanita Cold Storage","https://www.eicindia.gov.in/WebApp1/pages/menuInfo/approvedCommoditiesList.xhtml?CT=FFP","EIC Approved Units - Fish & Fishery Products (FFP)","regulator","2026-02-09","EIC approved units list (FFP)","HIGH"
