approval_no,plant_name,company,address,town_region,country,scope,expiry_date
1100,Naik Seafoods Pvt.Ltd.,Naik Seafoods Pvt.Ltd.,"S.No.3A, H.No.3A/3B, At and Post Karla, Ratnagiri-415612",At and Post Karla,India,"Packing of Fresh/Chilled Fish & Fishery product, Freezing of Raw fish & Fishery Product (Block/IF)(Including Aquaculture)  
(Assessment over for Aquaculture on 06.08.2024)",13/10/2027
1104,Gadre Marine Export Pvt. Ltd.,Gadre Marine Export Pvt. Ltd.,"Plot No. FP-1, MIDC, Mirjole Block, Ratnagiri-415639, Maharashtra, India",Maharashtra,India,"(a) Processing, freezing, cooking of Surimi based shrimps, lobster, scallops, crab analogues their battered, breaded, par fried products and frozen storage.
(b) Processing, cooking, chilling of Surimi based imitation crab sticks, flakes, chunks and shreds and their chilled storage.
(c) Frozen breaded par fried fish finger, fish patty & frozen prawn curry
(d) Processing, freezing, cooking of Surimi based Chikuwa.  
(e) Frozen Surimi Premix (Uncooked).
(f) Freeze Dried Surimi Based Products (Freeze Dried Crab Bite)",08/03/2028
1108,Alps Ice & Cold Storage Pvt. Ltd.,Alps Ice & Cold Storage Pvt. Ltd.,"No.30, APMC Yard, MAFCO Compound, Vashi, Navi Mumbai-400703",Vashi,India,"Packing of  Fresh Chilled Fish & Fishery Products and Frozen (Block/ Individually Frozen/IQF), Raw/Blanched/Cooked Fish & Fishery Products",09/08/2027
1109,Silver Sea Food Unit-II,Silver Sea Food Unit-II,"Survey No. 24/2,Javarnaka, Porbandar -360575, Gujarat, India",Gujarat,India,Frozen (Block/IF-Blast/IQF) Raw/Blanched/Cooked Fish and Fishery Products (Including Aquaculture),10/08/2027
111,GADRE MARINE EXPORT,GADRE MARINE EXPORT,"Plot No. 3298 - A, Mirkarwada, Ratnagiri - 415612, Maharashtra, India",Maharashtra,India,"Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (IF-Blast/IQF) and Freezing of Blanched/Cooked Fish and Fishery Products(IQF) -Fishes (Histamine & Non- Histamine forming), Crustaceans -Shrimps (Aquaculture/Sea caught/Wild caught), Crabs (Sea caught), Lobster (Sea caught) & Cephalopods",15/08/2027
1110,Vanita Cold Storage,Vanita Cold Storage,"Somnath Road, Near Bhidia Bridge, Veraval, Gujarat-362267, India",Gujarat-362267,India,FREEZING OF RAW/BLANCHED/COOKED FISH & FISHERY PRODUCTS (BLOCK/ BLAST-IF/IQF) (INCLUDING AQUACULTURE),27/08/2027
1114,VKM Foods Private Limited,VKM Foods Private Limited,"Plot No. M-54, M.I.D.C., Taloja Industrial Estate, Taloja, District- Raigad- 410208, Maharashtra, India",Maharashtra,India,"Packing of Fresh/Chilled Fish & Fishery products, Freezing of Raw/Blanched/Cooked Fish & Fishery products (Block, Blast Freezing & IQF) Breaded & battered Fish & Fishery products, Frozen shrimp platter  (Cooked Peeled Deveined Tail on Vannamei Shrimps IQF) with mild cocktail sauce",22/03/2028
1117,Atlas Fisheries Private Limited,Atlas Fisheries Private Limited,"H. No. 38/2, Survey No. 42/ 3 A, Dauji, Old Goa, North Goa, Goa-403402, India",Goa-403402,India,Freezing of Raw/Blanched Fish & Fisheries Products (Block /IF-Blast/ IQF) (Including  Aquaculture),05/05/2028
1120,Naik Oceanic Exports Pvt. Ltd.,Naik Oceanic Exports Pvt. Ltd.,"M-5, MIDC, Taloja, Dist-Raigad , Pin-410208, Navi Mumbai, Maharashtra, India",Maharashtra,India,nan,08/04/2029
1127,Deepmala Foods,Deepmala Foods,"Opp. Bhavani Temple, Near Municipality Water Filter Plant, Somnath Road, Veraval - 362267, Gujarat, India",Gujarat,India,FREEZING OF RAW/ BLANCHED FISH & FISHERY PRODUCTS (BLOCK/IQF) (INCLUDEING AQUACULTURE),26/06/2027
1129,Hejazi Foodstuff Pvt. Ltd.,Hejazi Foodstuff Pvt. Ltd.,"PLOT NO. M-62 & M-62 PART, MIDC INDUSTRIAL   AREA,  TALOJA, DIST- RAIGAD-410208,   MAHARASHTRA, INDIA",MAHARASHTRA,India,Fresh/Chilled Raw and Frozen(IF-Blast/Block) Raw Fish and Fishery Products (Including Aquaculture),03/10/2027
1130,KARUNYA MARINE EXPORTS PVT. LTD.,KARUNYA MARINE EXPORTS PVT. LTD.,"Survey No.42, Hissa No. 1 & 2, Rahatagar, Peth Killa, Ratnagiri-415612, Maharashtra,  India",Maharashtra,India,"Packing of Fresh/ Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Block/IF) (Including Aquaculture)",23/10/2027
1131,TEJAL SEA FOODS,TEJAL SEA FOODS,"SUPER GAS ROAD, JAWAR NAKA PORBANDAR-360575, GUJARAT, INDIA",GUJARAT,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/BLAST-IF/IQF)(Excluding Aquaculture),18/05/2028
1132,Vasai Frozen Foods.,Vasai Frozen Foods.,"Poman Village, Near Kaman, Vasai Bhiwandi Road, Tal-Vasai, Dist-Thane, Mumbai-401208, Maharashtra, India",Maharashtra,India,Freezing of Raw Fish & Fishery Products (IF-Blast)(Including Aquaculture),16/10/2027
1133,Shree Datt Aquaculture Farms Pvt. Ltd.,Shree Datt Aquaculture Farms Pvt. Ltd.,"At & Post Talodh, Bilimora Taluka, Gandevi, Dist. Navsari Piin-396321, Gujarat, India",Gujarat,India,"Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw/Blanched Fish & Fishery Products (Block/IQF/Brine Freezing)",05/11/2027
1139,West Coast Frozen Foods Private Limited,West Coast Frozen Foods Private Limited,"Plot No. 322,323,Village- Orma, Olpad , Surat-394540 ,Gujarat, India.",Gujarat,India,"Packing of Fresh/chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Blast/Brine/ IQF/Block)",09/03/2028
1142,KAN VICTUAL PVT. LTD.,KAN VICTUAL PVT. LTD.,"R/S. No. 796, Paiki, All Weather Port Road, Bokhira, Porbandar, Gujarat-360575",Porbandar,India,Raw Frozen Surimi,12/03/2026
1148,Keshodwala Foods (Unit - II),Keshodwala Foods (Unit - II),"Plot No. 306, G.I.D.C Estate, Veraval, 362269, Gujarat, India",Gujarat,India,FROZEN (BLOCK/IF-BLAST/IQF) RAW/BLANCHED/COOKED FISH AND FISHERY PRODUCTS (INCLUDEING AQUACULTURE),29/05/2027
1150,New Faizan Foods,New Faizan Foods,"Plot No.301 G.I.D.C. Estate Behind Association Hall, Veraval
- 362269, Gujarat, India,",Gujarat,India,FROZEN (IF-BLAST/BLOCK/IQF) RAW/BLANCHED FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE),21/05/2027
1153,SILVER STAR EXPORTS,SILVER STAR EXPORTS,"Javar Village, Porbandar - 360575, Gujarat, India",Gujarat,India,Freezing of Raw Fish & Fishery Produts (Block/IF/IQF) (Including Aquaculture) and Frozen Surimi,12/10/2027
1156,Sun Exports.,Sun Exports.,"Plot No. 1313, GIDC Estate, Veraval-362269, Gujarat.,",Veraval-362269,India,"FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/BLAST/IF) CRUSTACEANS, CEPHALOPODS, NON-HISTAMINE & HISTAMINE",08/12/2027
1158,NILESH SEA FOODS,NILESH SEA FOODS,"Plot No.214,Vanana,G.I.D.C.Estate,Taluka Ranavav,Porbandar-360575,Gujarat,India",Gujarat,India,Freezing of Raw Fish and Fishery Products(Block/IF-Blast/IQF) (Excluding Aquaculture),29/11/2027
