approval_no,name,company_name,country,region,city,address,town_region,latitude,longitude,geocode_confidence,geocode_formatted,primary_species,scope,expiry_date,status,verified,verification_level,admin_notes
1100,Naik Seafoods Pvt.Ltd. (EIC #1100),Naik Seafoods Pvt.Ltd.,India,Karnataka,At and Post Karla,"S.No.3A, H.No.3A/3B, At and Post Karla, Ratnagiri-415612",At and Post Karla,18.7585,73.4791,7,"415612, Mahārāshtra, India",Fish,"Packing of Fresh/Chilled Fish & Fishery product, Freezing of Raw fish & Fishery Product (Block/IF)(Including Aquaculture)  
(Assessment over for Aquaculture on 06.08.2024)",13/10/2027,approved,true,documentation_verified,"EIC FFP approved unit #1100. Scope: Packing of Fresh/Chilled Fish & Fishery product, Freezing of Raw fish & Fishery Product (Block/IF)(Including Aquaculture)  
(Assessment over for Aquac.... Expiry: 13/10/2027."
1104,Gadre Marine Export Pvt. Ltd. (EIC #1104),Gadre Marine Export Pvt. Ltd.,India,Maharashtra,Ratnagiri,"Plot No. FP-1, MIDC, Mirjole Block, Ratnagiri-415639, Maharashtra, India",Maharashtra,17.7425,73.2869,7,"415639, Mahārāshtra, India",Crab|Lobster|Scallop|Shrimp|Surimi,"(a) Processing, freezing, cooking of Surimi based shrimps, lobster, scallops, crab analogues their battered, breaded, par fried products and frozen storage.
(b) Processing, cooking, chilling of Surimi based imitation crab sticks, flakes, chunks and shreds and their chilled storage.
(c) Frozen breaded par fried fish finger, fish patty & frozen prawn curry
(d) Processing, freezing, cooking of Surimi based Chikuwa.  
(e) Frozen Surimi Premix (Uncooked).
(f) Freeze Dried Surimi Based Products (Freeze Dried Crab Bite)",08/03/2028,approved,true,documentation_verified,"EIC FFP approved unit #1104. Scope: (a) Processing, freezing, cooking of Surimi based shrimps, lobster, scallops, crab analogues their battered, breaded, par fried products and frozen st.... Expiry: 08/03/2028."
1108,Alps Ice & Cold Storage Pvt. Ltd. (EIC #1108),Alps Ice & Cold Storage Pvt. Ltd.,India,Andhra Pradesh,Vashi,"No.30, APMC Yard, MAFCO Compound, Vashi, Navi Mumbai-400703",Vashi,19.2911,74.5735,7,"400703, Mahārāshtra, India",Fish,"Packing of  Fresh Chilled Fish & Fishery Products and Frozen (Block/ Individually Frozen/IQF), Raw/Blanched/Cooked Fish & Fishery Products",09/08/2027,approved,true,documentation_verified,"EIC FFP approved unit #1108. Scope: Packing of  Fresh Chilled Fish & Fishery Products and Frozen (Block/ Individually Frozen/IQF), Raw/Blanched/Cooked Fish & Fishery Products. Expiry: 09/08/2027."
1109,Silver Sea Food Unit-II (EIC #1109),Silver Sea Food Unit-II,India,Gujarat,Porbandar,"Survey No. 24/2,Javarnaka, Porbandar -360575, Gujarat, India",Gujarat,21.6422,69.6093,7,"360575, Gujarat, India",Fish,Frozen (Block/IF-Blast/IQF) Raw/Blanched/Cooked Fish and Fishery Products (Including Aquaculture),10/08/2027,approved,true,documentation_verified,EIC FFP approved unit #1109. Scope: Frozen (Block/IF-Blast/IQF) Raw/Blanched/Cooked Fish and Fishery Products (Including Aquaculture). Expiry: 10/08/2027.
111,GADRE MARINE EXPORT (EIC #111),GADRE MARINE EXPORT,India,Maharashtra,Ratnagiri,"Plot No. 3298 - A, Mirkarwada, Ratnagiri - 415612, Maharashtra, India",Maharashtra,18.7585,73.4791,7,"415612, Mahārāshtra, India",Cephalopods|Crab|Lobster|Shrimp,"Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (IF-Blast/IQF) and Freezing of Blanched/Cooked Fish and Fishery Products(IQF) -Fishes (Histamine & Non- Histamine forming), Crustaceans -Shrimps (Aquaculture/Sea caught/Wild caught), Crabs (Sea caught), Lobster (Sea caught) & Cephalopods",15/08/2027,approved,true,documentation_verified,"EIC FFP approved unit #111. Scope: Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (IF-Blast/IQF) and Freezing of Blanched/Cooked Fish and Fish.... Expiry: 15/08/2027."
1110,Vanita Cold Storage (EIC #1110),Vanita Cold Storage,India,Gujarat,Gujarat,"Somnath Road, Near Bhidia Bridge, Veraval, Gujarat-362267, India",Gujarat-362267,23.0373068,72.5447481,9,"Gujarat University, Gujarat University Internal Road, Gulbai tekra, - 380009, Gujarat, India",Fish,FREEZING OF RAW/BLANCHED/COOKED FISH & FISHERY PRODUCTS (BLOCK/ BLAST-IF/IQF) (INCLUDING AQUACULTURE),27/08/2027,approved,true,documentation_verified,EIC FFP approved unit #1110. Scope: FREEZING OF RAW/BLANCHED/COOKED FISH & FISHERY PRODUCTS (BLOCK/ BLAST-IF/IQF) (INCLUDING AQUACULTURE). Expiry: 27/08/2027.
1114,VKM Foods Private Limited (EIC #1114),VKM Foods Private Limited,India,Maharashtra,Maharashtra,"Plot No. M-54, M.I.D.C., Taloja Industrial Estate, Taloja, District- Raigad- 410208, Maharashtra, India",Maharashtra,18.24229,73.43521,9,"Raigad District, Mahārāshtra, India",Shrimp,"Packing of Fresh/Chilled Fish & Fishery products, Freezing of Raw/Blanched/Cooked Fish & Fishery products (Block, Blast Freezing & IQF) Breaded & battered Fish & Fishery products, Frozen shrimp platter  (Cooked Peeled Deveined Tail on Vannamei Shrimps IQF) with mild cocktail sauce",22/03/2028,approved,true,documentation_verified,"EIC FFP approved unit #1114. Scope: Packing of Fresh/Chilled Fish & Fishery products, Freezing of Raw/Blanched/Cooked Fish & Fishery products (Block, Blast Freezing & IQF) Breaded & batt.... Expiry: 22/03/2028."
1117,Atlas Fisheries Private Limited (EIC #1117),Atlas Fisheries Private Limited,India,Goa,Goa,"H. No. 38/2, Survey No. 42/ 3 A, Dauji, Old Goa, North Goa, Goa-403402, India",Goa-403402,15.50195,73.91009,1,"Goa, North Goa, India",Fish,Freezing of Raw/Blanched Fish & Fisheries Products (Block /IF-Blast/ IQF) (Including  Aquaculture),05/05/2028,approved,true,documentation_verified,EIC FFP approved unit #1117. Scope: Freezing of Raw/Blanched Fish & Fisheries Products (Block /IF-Blast/ IQF) (Including  Aquaculture). Expiry: 05/05/2028.
1120,Naik Oceanic Exports Pvt. Ltd. (EIC #1120),Naik Oceanic Exports Pvt. Ltd.,India,Maharashtra,Pin,"M-5, MIDC, Taloja, Dist-Raigad , Pin-410208, Navi Mumbai, Maharashtra, India",Maharashtra,19.3669,73.1758,7,"410208, Mahārāshtra, India",,nan,08/04/2029,approved,true,documentation_verified,EIC FFP approved unit #1120. Scope: nan. Expiry: 08/04/2029.
1127,Deepmala Foods (EIC #1127),Deepmala Foods,India,Gujarat,Veraval,"Opp. Bhavani Temple, Near Municipality Water Filter Plant, Somnath Road, Veraval - 362267, Gujarat, India",Gujarat,20.9077,70.36786,7,"Verāval, Jūnāgadh, India",Fish,FREEZING OF RAW/ BLANCHED FISH & FISHERY PRODUCTS (BLOCK/IQF) (INCLUDEING AQUACULTURE),26/06/2027,approved,true,documentation_verified,EIC FFP approved unit #1127. Scope: FREEZING OF RAW/ BLANCHED FISH & FISHERY PRODUCTS (BLOCK/IQF) (INCLUDEING AQUACULTURE). Expiry: 26/06/2027.
