eic_approval_no,eic_plant_name,eic_address,mpeda_registration_no,mpeda_firm_name,mpeda_address,mpeda_email,mpeda_phone,mpeda_mobile,mpeda_website,mpeda_products,match_type
1100,Naik Seafoods Pvt.Ltd.,"S.No.3A, H.No.3A/3B, At and Post Karla, Ratnagiri-415612",,,,,,,,,no_match
1104,Gadre Marine Export Pvt. Ltd.,"Plot No. FP-1, MIDC, Mirjole Block, Ratnagiri-415639, Maharashtra, India",MA4/MT/002/18,GADRE MARINE EXPORT PVT. LTD.,"Plot No. FP-1, Mirjole Industrial Area, MIDC, Ratnagiri 415639 Maharashtra",haccp@gadremarine.com,02352230967,9168653854,www.gadremarine.com,"Frozen:Fish Wild(FROZEN IMITATION CRAB STICKS,FROZEN IMITATION CRAB FLAKES,FROZEN IMITATION SUPER SNOW CRAB,FROZEN IMITATION CRAB BITES,FROZEN IMITATION SHRIMPS,FROZEN IMITATION LOBSTER TAILS,FROZEN IMITATION SHRIMPS SKEWERS,FROZEN IMITATION CRAB STICKS (MINCED STYLE),FROZEN IMITATION CRAB STICKS (SHREDDED STYLE),FROZEN IMITATION CRAB FLAKES (SHREDDED STYLE),FROZEN IMITATION BREADED CRAB CLAWS,FROZEN IMITATION BREADED CRAB SKEWERS,FROZEN IMITATION BREADED FISH POPCORN,FROZEN IMITATION BREADED SCALLOPS,FROZEN IMITATION BREADED CRAB BALL,FROZEN IMITATION SHRIMP SAMOSA,FROZEN CHIKUWA,FROZEN FISH SEEKH KEBAB) Frozen:Fish Aquaculture(FROZEN BREADED FISH FINGERS,FROZEN BREADED FISH PATTY) Frozen:Shrimp Aquaculture(FROZEN PRAWN CURRY,FROZEN SHRIMP MASALA CURRY,FROZEN SHRIMP HARIYALI MASALA CURRY,FROZEN SHRIMP CHETTINAD CURRY,FROZEN SHRIMP GOAN CURRY) Chilled:Fish Wild(CHILLED IMITATION CRAB STICKS,CHILLED IMITATION CRAB FLAKES,CHILLED IMITATION CRAB FLAKES (SHREDDED))",name_only
1108,Alps Ice & Cold Storage Pvt. Ltd.,"No.30, APMC Yard, MAFCO Compound, Vashi, Navi Mumbai-400703",,,,,,,,,no_match
1109,Silver Sea Food Unit-II,"Survey No. 24/2,Javarnaka, Porbandar -360575, Gujarat, India",,,,,,,,,no_match
111,GADRE MARINE EXPORT,"Plot No. 3298 - A, Mirkarwada, Ratnagiri - 415612, Maharashtra, India",,,,,,,,,no_match
1110,Vanita Cold Storage,"Somnath Road, Near Bhidia Bridge, Veraval, Gujarat-362267, India",,,,,,,,,no_match
1114,VKM Foods Private Limited,"Plot No. M-54, M.I.D.C., Taloja Industrial Estate, Taloja, District- Raigad- 410208, Maharashtra, India",MA1/MT/363/18,VKM FOODS PRIVATE LIMITED,"202, RAHEJA ARCADE, PLOT NO. 61, SECTOR 11, CBD BELAPUR , NAVI MUMBAI 400614 Maharashtra",vkmfoodspl@gmail.com,9167733020,9167733020,nan,"Frozen:Fish Wild(FROZEN TILAPIA MOON CUT,FROZEN TILAPIA WHOLE,FROZEN HORSE MACKEREL WHOLE,FROZEN MACKEREL WHOLE,FROZEN YELLOW CROCKER WHOLE) Frozen:Fish Aquaculture(FROZEN HEADON VANNAMEI SHRIMPS,FROZRN HLSO VANNAMEI SHRIMPS,FROZEN PD SHRIMPS,FROZEN PDTO SHRIMPS,FROZEN PUD SHRIMPS) Frozen:Shrimp Wild(FROZEN PD SHRIMPS SEACAUGHT,FROZEN PDTO SHRIMPS SEACAUGHT,FROZEN HLSO SHRIMPS SEACAUGHT,FROZEN HEADON SHELL ON VANNAMEI SHRIMPS) Frozen:Cuttlefish(FROZEN CUTTLE FISH WHOLE,FROZEN CUTTLE FISH WHOLE CLEANED) Frozen:Squid(FROZEN SQUID WHOLE,FROZEN SQUID WHOLE CLEANED,FROZEN SQUID TUBE AND TENTACLES,FROZEN SQUID RINGS AND TENTACLES,FROZEN SQUID TUBES,FROZEN CUT SQUID SKIN ON)",name_only
1117,Atlas Fisheries Private Limited,"H. No. 38/2, Survey No. 42/ 3 A, Dauji, Old Goa, North Goa, Goa-403402, India",,,,,,,,,no_match
1120,Naik Oceanic Exports Pvt. Ltd.,"M-5, MIDC, Taloja, Dist-Raigad , Pin-410208, Navi Mumbai, Maharashtra, India",,,,,,,,,no_match
1127,Deepmala Foods,"Opp. Bhavani Temple, Near Municipality Water Filter Plant, Somnath Road, Veraval - 362267, Gujarat, India",GU1/MT/090/07,DEEPMALA FOODS,"Opp. Bhavani Temple Near Municipality Water Filtration plant Somnath Road, Veraval 362267 Gujarat",deepmalafoods@hotmail.com,02876231255,9227721253,nan,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN REEF COD WHOLE,FROZEN REEF COD FILLETS-CHUNKS-GUTTED,FROZEN YELLOW FIN TUNA WHOLE ROUND,FROZEN SKIP JACK TUNA WHOLE ROUND,FROZEN LONG TAIL TUNA WHOLE ROUND,FROZEN CORVINA HL-TL-FL-GTD,FROZEN CROAKER FISH,FROZEN SEER FISH,FROZEN KING FISH WHOLE-GUTTED,FROZEN MAHI MAHI WHOLE-FILLETS-GUTTED,FROZEN SILVER/BLACK/CHINESE POMFRET,FROZEN LEATHER JACKET WHOLE & GUTTED & HL TL FL,FROZEN BARRACUDA WHOLE & GUTTED,FROZEN BLACK SEA BREAM,FROZEN T.T. CROAKER AND BIGMOUTH CROAKER,FROZEN INDIAN MACKEREL WHOLE,FROZEN EEL FISH & FROSEN SOLE FISH,FROZEN STING RAY,FROZEN EMPEROR WHOLE & GUTTED & FROZEN SCAD WHOLE,FROZEN HILSA FISH & KATTI FISH,FROZEN HORSE MACKEREL,FROZEN SQUID/WHOLE CLEANED/CUT (IF-IQF-BLOCK),FROZEN SQUID BLANCHED RINGS-TENTACLES(IQF-IF-BLOCK,FROZEN BABY SQUID PIN BONE OUT (IF-IQF-BLOCK),FROZEN CUTTLE FISH WHOLE CLEANED (IF-IQF),FROZEN CUTTLE FISH STRIPS-TENTACLES (IQF-BLANCHED),FROZEN CUTTLE FISH/SQUID SKEWERS (IQF-IF),FROZEN OCTOPUS WHOLE CLEANED (IF-IQF-BLOCK),FROZEN OCTOPUS CHOPPED (IF-IQF-BLANCHED),FROZEN CUTTLE FISH ROE (IQF-IF-BLOCK),FROZEN PUD SHRIMPS (KARIKADI-BROWN-FLOWER-DEEP SEA,FROZEN SHRIMPS (PUD-PD-IQF-BLANCHED-BLOCK))",name_only
