eic_approval_no,eic_plant_name,eic_address
1100,Naik Seafoods Pvt.Ltd.,"S.No.3A, H.No.3A/3B, At and Post Karla, Ratnagiri-415612"
1108,Alps Ice & Cold Storage Pvt. Ltd.,"No.30, APMC Yard, MAFCO Compound, Vashi, Navi Mumbai-400703"
1109,Silver Sea Food Unit-II,"Survey No. 24/2,Javarnaka, Porbandar -360575, Gujarat, India"
111,GADRE MARINE EXPORT,"Plot No. 3298 - A, Mirkarwada, Ratnagiri - 415612, Maharashtra, India"
1110,Vanita Cold Storage,"Somnath Road, Near Bhidia Bridge, Veraval, Gujarat-362267, India"
1117,Atlas Fisheries Private Limited,"H. No. 38/2, Survey No. 42/ 3 A, Dauji, Old Goa, North Goa, Goa-403402, India"
1120,Naik Oceanic Exports Pvt. Ltd.,"M-5, MIDC, Taloja, Dist-Raigad , Pin-410208, Navi Mumbai, Maharashtra, India"
1130,KARUNYA MARINE EXPORTS PVT. LTD.,"Survey No.42, Hissa No. 1 & 2, Rahatagar, Peth Killa, Ratnagiri-415612, Maharashtra,  India"
1131,TEJAL SEA FOODS,"SUPER GAS ROAD, JAWAR NAKA PORBANDAR-360575, GUJARAT, INDIA"
1132,Vasai Frozen Foods.,"Poman Village, Near Kaman, Vasai Bhiwandi Road, Tal-Vasai, Dist-Thane, Mumbai-401208, Maharashtra, India"
1133,Shree Datt Aquaculture Farms Pvt. Ltd.,"At & Post Talodh, Bilimora Taluka, Gandevi, Dist. Navsari Piin-396321, Gujarat, India"
1148,Keshodwala Foods (Unit - II),"Plot No. 306, G.I.D.C Estate, Veraval, 362269, Gujarat, India"
1168,"Dolphin Marine Foods & Processors (India) Pvt. Ltd.,","PLOT No.M-13, MIDC INDUSTRIAL ESTATE, TALOJA, DIST -  RAIGAD, PIN - 410208, MAHARSAHTRA, INDIA"
1170,Asha Ganga Exports.,"Plot No. 310/B, G.I.D.C. Estate, Veraval-362269, Gujarat, India"
1173,SIDDIQ SEA FOOD UNIT II,"All Weather Port Road, Bokhira, Porbandar-360575, Gujarat, India"
1192,Ulka Sea Foods Pvt. Ltd.,"Plot No. M-34/2, 35, MIDC,Taloja, Dist. Raigad, Maharashtra-410208, India"
1193,United Marine Products,"Plot No. L-28, Cuncolim, Industrial Estate, Cncolim, Salcete, Goa-403703, India"
1196,KAN VICTUAL PVT. LTD. UNIT-II,"R. S. No. 796, Paiki 1, All Weather Port Road, Bokhira, Porbandar-360575 , Gujarat, India"
1198,"QUALITY EXPORTS, UNIT-II","Plot No. SB 64, 65, 66 & 67, Cuncolim Industrial Estate, Cuncolim, Goa -403703, India"
1202,"Forstar Frozen Foods Pvt. Ltd. Unit-2,","Plot No.M-53 / 1, MIDC, INDUSTRIAL AREA, TALOJA,   DIST - RAIGAD -   410 208, MAHARASHTRA, INDIA"
1207,AKSHA FISH MEAL & OIL,"Survey No- 63, N.H 8E, Village- Gosa, Porbandar, Gujarart,India"
1214,PREMIER MARINE PRODUCTS,"PLOT NO. 1309, G.I.D.C., VERAVAL-362269, GUJARAT, INDIA"
1228,Deepmala Fisheries,"Plot No. 805, GIDC Estate, Veraval - 362269, Gujarat, India,"
1229,Ambar Exports,"Plot No. 610/2, G.I.D.C., Veraval - 362269, Gujarat, India,"
1232,Star Marine Products (Unit-II),"Plot No.613/2,G.I.D.C.
Estate,Veraval-362269, Gujarat, India"
1234,Gausia Cold Storage Pvt. Ltd.,"M-7, MIDC TALOJA, DIST. RAIGAD, MAHARASHTRA-410208, INDIA"
1239,S.C.S. IMPEX INTERNATIONAL,"PLOT NO. 200, 201/1, 201/2 & 212 G.I.D.C. ESTATE, VANANA, TA- RANAVAV, DIST: PORBANDAR â?? 360 575, GUJARAT, INDIA"
1240,Jalaram Kalidas Exports.,"Plot No. 1841/1, Nr. Bhidiya Bridge, Somnath Road, Veraval-362267, Gujarat, India"
1243,J.M.SEA FOODS,SURVEY NO.17983-4  NEAR GIDC UDHYOG NAGAR   PATAN ROAD VERAVAL 362269 GUJARAT  INDIA
1252,Packwell Craft Pvt. Ltd.,"PLOT NO. R-902,MIDC RABALE, TTC INDUSTRIAL AREA, THANE-BELAPUR ROAD, NAVI MUMBAI - 400701, MAHARASHTRA, INDIA"
1261,Seasaga Enterprises Private Limited - Unit II,"Plot No E-27,Taloja Industrial Area, Taluka Panvel, Raigad District,Maharashtra-410208,India"
1274,S.I.A. Impex,"Plot No.811, Opp. Hanswati Exports,G.I.D.C. estate, Verval, 362269, Gujarat, India,"
1280,Zenith Exports,"Plot No.317,G.I.D.C., Estate Veraval-362269, Gujarat, India,"
1281,PROGRESS FROZEN & FISH STERILIZATION,"Zavar Naka, Porbandar-360575,Gujarat,India."
1287,Shivganga Marine Products Unit-II,"Plot No.1314, G.I.D.C Estate, Veraval- 362269, Gujarat â?? India,"
1289,Real Frozen Foods,"Plot No.105/2,G.I.D.C.,Estate, Veraval-362269,Gujarat,India,"
1290,Sun Marine Export,"Plot No. 1312, G.I.D.C Estate, Veraval-362269, Gujarat, India"
1303,DIGHA SEAFOOD EXPORTS PVT. LTD.,"Unit No. 7, International Seafood Processing Centre, Benfish Complex, Chakgaria, Budher Hat, 24 Parganas (South), Kolkata-700094, West Bengal"
1305,BASU INTERNATIONAL (UNIT III),"34, CHAULPATTI ROAD, KOLKATA-700010, WEST BENGAL"
1311,SWARNALI EXPORTS,"DIGHRA, P.O.DUTTAPUKUR, P.S. ASHOKENAGAR, NORTH 24 PGS WEST BENGAL- 743248, INDIA"
1315,ESSEX MARINE PRIVATE LIMITED,"Village - Kuliatta, PO & PS : Ramnagar, Dist.: Purba Midnapur, Pin - 721441, West Bengal"
1318,Padmashree Export,"Plot No 274, Champajhara, P.O.Malpada-752018, Dist::Khordha, Odisha"
1319,RUPSHA FISH PRIVATE LIMITED,"RUIYA, P.O.: PATULIA, P.S.: KHARDAH, DIST: 24 PARGANAS(N), KOLKATA, WEST BENGAL-700119"
1326,TRADE IMPEX,"Vill & PO - Newsha, PS - Diamond Harbour, South 24 Parganas, West Bengal- 743368"
1327,Falcon Marine Exports Ltd.,"NH5, Khantapada, Kasbajaypur, Dist- Balasore, Odisha, Pin-756043"
1359,BASU INTERNATIONAL (UNIT V),"JAGAIBASAN, P.O- DIGHA, DIST- PURBA MEDINIPUR, PIN-721428, WEST BENGAL"
1363,NDM SEAFOOD PROCESSORS AND EXPORTERS PRIVATE LIMITED,"Hosennabad Village, Mogra, Hooghly - 712148, West Bengal"
1366,"Orchid Marine Export pvt. Ltd,","KHALADIHA,NO.1,BADASIMULIA,BALIAPAL,BALASORE-756026,ODISHA"
1370,Bhimraj Export,"BADAPOKHARIA,PO-NILAGIRI-PATANA,PS-NIRAKARPUR,KHURDA,ODISHA-752019"
1373,SHNAKHA DEEP EXPORTS PRIVATE LIMITED(UNIT_II),"CHONDIGORI, BADU, NORTH 24 PARGANAS, KOLKATA-700128, WEST BENGAL"
1383,GADRE MARINE EXPORT PRIVATE LIMITED,"Surimi Unit, Salt Road, Tundara, PO Inchudi, Remuna Block, Balasore 756021, Odisha."
146,Rahul Foods (Goa),"Next to Government Fish Farm, Dauji, Ela, Old-Goa, Goa-403402, India"
1512,Janatha Fish Meal & Oil Products,"Manoor Fisheries Road,Kota-576221, UdupiDist,Karnataka"
1521,M/s Seafood Innovations,"Kodamthuruthu, Kuthiathode P.O., Cherthala, Alappuzha Dist., 688538, Kerala"
1523,DOLPHIN WIRES PRIVATE LIMITED,"AP II/722, INDUSTRIAL ESTATEAROOR, ALAPPUZHA-688534KERALA, INDIA"
1525,International Freezfish Exports (Unit 1),"A P II/ 810, Industrial Estate, Aroor- 688534, Alleppey Dist. Kerala"
1526,United Marine Products,"Door No.1-1/20, Sea Road, Kotepura, Mangalore, Ullal-575020,"
1546,Ullal Fish Meal & Oil Company,"D.No.1-19/ISeaRoad,Kotepura,Ullal, Mangalore-575020"
1549,EMINENT SEAFOODS PVT LTD,"16/1127A, PLOT NO.9, COCHIN FISHERIES HARBOUR , THOPPUMPADY ,COCHIN -682005"
1556,AUTHENTIC OCEAN TREASURE,"Plot No. 1P-63A, M.S.E.Z., Mangalore Karnataka, Pin- 574142"
1559,BarakaOverseasTraders,"P.B.No.1204,BeachRoad,UllalDakshina, Kannada, Mangalore, Karnataka-575020."
1561,AL BADR SEAFOODS PVT. LTD. (UNIT-II),"PLOT NO. 33 B, CSEZ,KAKKANAD, COCHIN-682037, KERALA"
1563,"Raj Fishmeal and Oil Company – Unit-II,","D.No 1-23B, 3rdCross Malpe, Madhwaraj Road Malpe, Udupi District, Karnataka -576108."
1581,NAS FISHERIES PRIVATE LIMITED,"16/1712, Old No.22/1173-A  NH.47,EDAKOCHI,KOCHI-682010,KERALA,INDIA"
1583,Yashaswi Fish Meal and Oil Company- Branch 1,"Plot No IP-25A, Mangalore SEZ Permude Village, Mangalore Dakshina Kannada Karnataka-574509"
1585,Sterling Foods Unit-2,"Door No:2-157-1-A&B, Sasihithlu,Dakshina Kannada, Mangalore,Karnataka-574146"
