entity_id,field,value,source_url,source_title,source_type,access_date,evidence_snippet,confidence
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
"","company_name","","https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?Categ=ExporterTTotal","MPEDA Exporters Detailed Report","regulator","2026-02-09","MPEDA exporter directory entry","HIGH"
