source,registration_no,firm_name,address,email,phone,mobile,website,products
MPEDA,KL1/ME/405/19,ACQUA PEARL PROPERTIES AND EXPORTS INDIA PRIVATE LIMITED,"MUTHAMPAKAL ,VADISALAM, AROOKUTTY P.O. ALAPPUZHA 688535 Kerala",casalimcherukattu@gmail.com,9846048591,9846048591.0,,"Frozen:Fish Wild(VANNAMEI SHRIMPS,SQUID,OCTOPUS, CUTTLEFISH,,IQF, BLANCHED SHRIMPS, IQF COOKED SHRIMPS,VANNAMEI HLSO, VANNAMEI PD, PVPD, PUD)"
MPEDA,KL1/ME/131/05,AQUA MARINE,"18/1555, Thoppumpady, Kochi-5 682005 Kerala",aquamarinecok@gmail.com,04842231671,9745742184.0,,
MPEDA,KL1/ME/389/18,AQUA SEA FOOD (INDIA) PVT LTD,"D.NO.16/1083-A HADEES CENTRE, NEAR COCHIN FISHERIES HARBOUR KARUVELIPADY, COCHIN 682005 Kerala",aquadocuments@gmail.com,2220346,9846055567.0,http://www.aquaseafoodindia.com,
MPEDA,KL2/ME/061/16,AVLA COLD STORAGE,CHEELANDIMUKU NEENDAKARA KOLLAM 691582 Kerala,varshaavla@gmail.com,04742770272,9496214622.0,,
MPEDA,KL1/ME/496/23,BELL EXIM PRIVATE LIMITED,"18/1553-A PALLICHAL ROAD THOPPUMPADY, COCHIN/682005 682005 Kerala",eximbell@gmail.com,914842232066,9995696110.0,www.bellbrand.com,
MPEDA,KL1/ME/345/15,BLUE CREST FROZEN FOODS PVT LTD,"No.36/1920F, CHAMMANY COMPLEX SEBASTIAN ROAD, ERNAKULAM 682017 Kerala",bluecrestfrozen@gmail.com,04782873337,9645902150.0,,
MPEDA,KL1/ME/263/11,BLUE SEA EXPORTS,"18/2338 F, TRINITY BUILDING THOPPUMPADY KOCHI 682005 Kerala",mailbluec@gmail.com,04844022381,9447022381.0,,
MPEDA,KL1/ME/494/23,BUFFET FUSION FOODS PRIVATE LIMITED,"PLOT NO.9, DOOR NO. XXIV/1604, AMALGAM HOUSE, WILLINGDON ISLAND, COCHIN 682003 Kerala",tpgeorge@amalgamfoods.in,04842668680,8086044094.0,,
MPEDA,KL1/ME/069/05,CANAAN MARINE PRODUCTS,"AP/XIV-40, KELTRON ROAD, AROOR 688534 Kerala",accountscanaan@gmail.com,04842327622,9846397364.0,,
MPEDA,KL1/ME/539/25,CHARISMA FOODS PRIVATE LIMITED,"TC 4/1900-(5), PANDIT COLONY KAUDIAR 695003 Kerala",info@charismafoods.in,9400274400,9447586698.0,,
MPEDA,KL1/ME/063/05,COCHIN FROZEN FOODS,"Arookutty Ferry Road, Aroor, Alappuzha 688534 Kerala",dineshprabhakar93@yahoo.in,04782873271,9447023272.0,wwwcochinfrozenfoods.in,
MPEDA,KL1/ME/466/22,FROSSET FOODS PRIVATE LIMITED,"9/453/B, MANAR CHANDIROOR 688537 Kerala",frossetfoods@gmail.com,9809909599,9809909599.0,,
MPEDA,KL1/ME/431/20,FROSTA FROZEN FOODS PRIVATE LIMITED,XII/802 CHANDIROOR PO ERAMALLOOR 688537 Kerala,info@frostafrozenfoods.in,9846906666,9846906666.0,,
MPEDA,KL1/ME/415/19,GRAND MARINE EXIM,16/65 AZHIKODE JETTY P O KODUNGALLUR 680666 Kerala,grandmarineexim786@gmail.com,04782875555,9895759205.0,,
MPEDA,KL1/ME/491/23,GREENLINE MARINE EXPORTS,"1/724, PATTALAM ROAD, NEAR BISHOP HOUSE, FORT KOCHI P.O 682001 Kerala",greenlinemarineexports@gmail.com,8891933984,8891933984.0,,
MPEDA,KL1/ME/491/23,GREENLINE MARINE EXPORTS,"1/724, PATTALAM ROAD, NEAR BISHOP HOUSE, FORT KOCHI P.O 682001 Kerala",greenlinemarineexports@gmail.com,8891933984,8891933984.0,,
MPEDA,KL1/ME/297/13,HEIPLOEG SEAFOOD INDIA PVT.LTD,"Kay kay House 39/116, Mullassery Canal Road Cochin 682011 Kerala",vivek@heiploeg.in,04844082777,9995674477.0,www.heiploeg.com,
MPEDA,KL1/ME/495/23,IAN OVERSEAS PRIVATE LIMITED,"Building No. XVII/259A, Marady Muvattupuzha P.O., Muvattupuzha, Ernakulam Dist Kerala",ianoverseas2002@gmail.com,9074424664,9074424664.0,,
MPEDA,KL1/ME/341/15,INTERGROW BRANDS PRIVATE LIMITED,"62/1814 A, AJAY VIHAR M G ROAD ERNAKULAM 682016 Kerala",pramodkr@intergrowfoods.com,04843012222,9388411201.0,www.ktchentreasures.com,
MPEDA,KL1/ME/512/23,J & T EXPORTS,,info@jandtinternational.com,04844062901,9847722900.0,www.jandtinternational.com,
MPEDA,KL1/ME/536/25,JACOB AND RICHARD INTERNATIONAL PRIVATE LIMITED,X/233A AERATH BUILDING KADANAD P.O. 686653 Kerala,viswasfoods@gmail.com,9061002777,9061002777.0,,
MPEDA,KL1/ME/447/21,JNG EXPORTS,"29/220, BETHEL, PADATH LANE, JANATHA ROAD, VYTTILA, KOCHI 682019 Kerala",jngexports@gmail.com,9447073310,9447073310.0,,
MPEDA,KL1/ME/469/22,K B EXPORT & IMPORT,"5/494-A, K B Tower, Alparambu Road Kumminiparamba P.O, Near Calicut Airport Karippur, Kondotty, Malappuram 673638 Kerala",kbexports1@gmail.com,9946106530,9946106530.0,,
MPEDA,KL1/ME/482/22,KAIRALI SEA FOODS,"10/398, THOTTAPPALLY, PURAKKAD, ALAPPUZHA 688561 Kerala",niyaspandan@gmail.com,8078522777,9947182977.0,kairaliseafoods.com,
MPEDA,KL1/ME/387/18,KINGS INFRA VENTURES LTD,"14 B, 14th Floor, The Atria Opposite Gurudwara Temple Thevara, Cochin 682015 Kerala",info@kingsinfra.com,04844865823,8129122229.0,www.kingsinfra.com,
MPEDA,KL1/ME/441/20,KYOBASHI PREMIER FREEZE DRY PRIVATE LIMITED,"22/601 A INDUSTRIAL ESTATE AROOR, AROOR 688534 Kerala",kpfdltd@gmail.com,9447044963,9447044963.0,,
MPEDA,KL1/ME/509/23,LEE MARINE EXPORTS,"AP IX 418 B, NEAR ST.MARYS CHURCH, MLA ROAD, CHANDIROOR 688537 Kerala",leemarineexports@gmail.com,9846732490,9846732490.0,,
MPEDA,KL1/ME/510/23,M/S CITIZEN GROUP,VP VI/870 CITIZEN BUILDING VIZHINJAM 695521 Kerala,citizengroupseafood@gmail.com,9995363497,9995363497.0,,
MPEDA,KL1/ME/456/21,M/S. SAFA ENTERPRISES,"16/65 Azhikode Jetty P.O., Kodungallur, 680666 Kerala",safaenterprises555@gmail.com,9895759209,9895759204.0,,
MPEDA,KL1/ME/347/15,M/S.RSA MARINES,"15/274, S N KAVALA NEERKUNNAM VANDANAM P O ALAPPUZHA 688005 Kerala",sales@rsamarines.com,9447740777,9447740777.0,,
MPEDA,KL1/ME/363/16,MANJILAS FOOD TECH PVT LTD,"SASTHRI ROAD, NELLIKUNNU, 680005 Kerala",vks@manjilas.com,04872440113,9447799011.0,www.manjilas.com,
MPEDA,KL1/ME/538/25,MARITERRO FOOD SOLUTIONS PRIVATE LIMITED,"2ND FLOOR, KAMALA VARMA BUILDING KOCHI M.G. ROAD 682016 Kerala",info@mariterro.com,9620192324,9620192324.0,www.mariterro.com,
MPEDA,KL1/ME/274/11,MARWA SEA FOODS,"IV/622A, LIGHT HOUSE JUNCTION AZHIKODE P.O, KODUNGALLUR THRISSUR 680666 Kerala",marwaseafoods786@gmail.com,9645933555,9995805166.0,,
MPEDA,KL1/ME/532/25,MATEY TIDES SEAFOOD LLP,"DOOR No. 2289/42, ROOM 1 FIRST FLOOR, KNRA 17, BEHIND EMC MAHILASAMAJAM ROAD, VENNALA 682028 Kerala",sashajohnson@mateytidesseafood.com,9846574043,9946799938.0,,
MPEDA,KL1/ME/546/26,NANDHANA SEA FOODS,XVI/53D PULLUT KODUNGALLUR 680663 Kerala,nandhanaseafoods@gmail.com,9074298590,9074298590.0,,
MPEDA,KL1/ME/419/19,NEW MOON GLOBAL SERVICES,"No.30/173 OLD No.25/138A WILLINGTON ISLAND, SOUTH MATSYAPURI, KOCHI 682029 Kerala",newmoongs@gmail.com,9995393736,9995393736.0,,
MPEDA,KL1/ME/498/23,NPM ASSOCIATES,,npmassociates2023@gmail.com,9048000031,9048000031.0,,
MPEDA,KL1/ME/543/25,OPTIMUS MARINE FOODS,"54/2958, MUTTATHIL LANE THACHAPILLIL, KOCHI 682020 Kerala",hansonhp@gmail.com,07994473454,7994473454.0,,
MPEDA,KL1/ME/089/05,ORCHID MARINE,"Anwar Palace, Chandiroor Pin - 688 547 688547 Kerala",orchidmarinexim@gmail.com,04782873237,9447173337.0,orchidmarine.com,
MPEDA,KL1/ME/470/22,OZEAN MARINE EXPORTS PRIVATE LIMITED,"55/853A, G-66, ELDERS FORUM ROAD, PANAMPILLY NAGAR, KOCHI 682036 Kerala",ozeanmarine1@gmail.com,9048544444,9048544444.0,https://ozeanmarine.com,"Frozen:Fish Wild(FROZEN SKIP JACK TUNA,FROZEN YELLOW FIN TUNA,FROZEN FISH CUBES, FILLETS, PORTIONS,FROZEN TUNA LOINS, SLICE,FROZEN MAHI MAHI, FROZEN GROUPER,FROZEN SWORD FISH,FROZEN INDIAN MACKEREL WHOLE,FROZEN INDIAN MACKEREL GUTTED,FROZEN EMPEROR,FROZEN INDIAN MACKEREL WHOLE IF,FROZEN RIBBONFISH WHOLE,FROZEN RIBBONFISH IWP) Frozen:Shrimp Wild(FROZEN SEA CAUGHT PUD SHRIMPS,FROZEN SEA CAUGHT SHRIMPS IF,FROZEN SEA CAUGHT SHRIMPS BLOCK) Frozen:Shrimp Aquaculture(FROZEN VANNAMEI SHRIPS IF,FROZEN VANNAMEI SHRIMPS BLOCK,FROZEN VANNAMEI SHRIMPS PD PUD PVPD) Frozen:Cuttlefish(FROZEN CUTTLEFISH WHOLE,FROZEN CUTTLEFISH WHOLE CLEANED BLOCK AND IF) Frozen:Squid(FROZEN SQUID RINGS IF,FROZEN SQUID TUBE AND TENTACLES) Frozen:Octopus(FROZEN OCTOPUS WHOLE BLCOK,FROZEN OCTOPUS WHOLE CLEANED)"
MPEDA,KL1/ME/545/26,PAM INDIA MARINES LLP,"COMPANYKADAYIL BUILDINGS PORT ROAD, SAKTHIKULANGARA 691581 Kerala",pamindiamarines@gmail.com,9387944455,9387944455.0,,
MPEDA,KL1/ME/525/25,PEARL AQUA MARINE PRIVATE LIMITED,"1ST FLOOR, A SQUARE 14/291 H, SUITE 85N EDAPPALLY PUKKATTUPADY ROAD, KUZHIVELIPPADY 683561 Kerala",pearlaquamarinepvtltd@gmail.com,0000000,9446517317.0,,
MPEDA,KL1/ME/105/05,PEARL COAST MARINE FOODS,"APX/763F, Chandiroor Alappuzha/Kerala 688547 Kerala",pearlcoastmarinefoods@gmail.com,04782873388,9846222988.0,,"Frozen:Fish Wild(FROZEN RIBBONFISH WHOLE ROUND,FROZEN RIBBONFISH) Frozen:Shrimp Aquaculture(FROZEN HEADLESS SHELL ON VANNAMEI SHRIMPS,FROZEN HEADLESS SHELL ON VANNAMEI SHRIMP) Frozen:Squid(FROZEN LOLIGO SQUID WHOLE,FROZEN SQUID WHOLE ROUND,FROZEN SQUID WHOLE LOLIGO,FROZEN SQUID WHOLE CLEANED,FROZEN SQUID WHOLE)"
MPEDA,KL1/ME/082/05,PIONEER IMPEX,KA 14/397 G Kannothumchal Kannur 670006 Kerala,pioneerimpexind@gmail.com,0497-2708936,9847341485.0,www.impexkannur.com,
MPEDA,KL1/ME/418/19,PRAYAG EXPORTS,"AP XII/157 CHANDIROOR P.O., CHANDIROOR ALAPPUZHA DISTRICT 688537 Kerala",prayagseafoods@gmail.com,9846016039,9846016039.0,,
MPEDA,KL1/ME/385/17,RAFA EXPORTS,"12/23, COLLEGE ROAD PANAYAPALLY COCHIN 682002 Kerala",sadhaam@gmail.com,9846071111,9846080770.0,,
MPEDA,KL1/ME/210/08,ROSHAN FOODS PVT LTD,"16/1738A Jetty Road Edacochi, Kochi 682010 Kerala",info@roshanfoods.com,2327752,9446517317.0,,
MPEDA,KL1/ME/383/17,ROYAL MARINE EXPORTS,"9/143M, RGs BUILDING NEAR GOVT. HIGH SCHOOL CHANDIROOR, ALAPPUZHA DISTRICT 688537 Kerala",royalmarineexports@gmail.com,9387221434,9387221434.0,,
