registration_no,name,company_name,country,region,city,address,latitude,longitude,geocode_confidence,geocode_formatted,primary_species,products,email,phone,website,status,verified,verification_level,admin_notes
KL1/ME/405/19,ACQUA PEARL PROPERTIES AND EXPORTS INDIA PRIVATE LIMITED (MPEDA #KL1/ME/405/19),ACQUA PEARL PROPERTIES AND EXPORTS INDIA PRIVATE LIMITED,India,Kerala,AROOKUTTY P.O. ALAPPUZHA,"MUTHAMPAKAL ,VADISALAM, AROOKUTTY P.O. ALAPPUZHA 688535 Kerala",9.7556,76.3278,7,"688535, Kerala, India",Cuttlefish|Octopus|Shrimp|Squid,"Frozen:Fish Wild(VANNAMEI SHRIMPS,SQUID,OCTOPUS, CUTTLEFISH,,IQF, BLANCHED SHRIMPS, IQF COOKED SHRIMPS,VANNAMEI HLSO, VANNAMEI PD, PVPD, PUD)",casalimcherukattu@gmail.com,9846048591,,approved,true,documentation_verified,"MPEDA registered exporter #KL1/ME/405/19. Products: Frozen:Fish Wild(VANNAMEI SHRIMPS,SQUID,OCTOPUS, CUTTLEFISH,,IQF, BLANCHED SHRIMPS, IQF COOKED SHRIMPS,VANNAMEI HLSO, VANNAMEI PD, PVPD, PUD)."
KL1/ME/131/05,AQUA MARINE (MPEDA #KL1/ME/131/05),AQUA MARINE,India,Kerala,Kochi-5,"18/1555, Thoppumpady, Kochi-5 682005 Kerala",9.9348129,76.2600732,7,"Thoppumpady, Kochi - 682005, Kerala, India",,,aquamarinecok@gmail.com,04842231671,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/131/05.
KL1/ME/389/18,AQUA SEA FOOD (INDIA) PVT LTD (MPEDA #KL1/ME/389/18),AQUA SEA FOOD (INDIA) PVT LTD,India,Kerala,COCHIN,"D.NO.16/1083-A HADEES CENTRE, NEAR COCHIN FISHERIES HARBOUR KARUVELIPADY, COCHIN 682005 Kerala",9.9679032,76.2444378,3,"Kochi, India",,,aquadocuments@gmail.com,2220346,http://www.aquaseafoodindia.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/389/18.
KL2/ME/061/16,AVLA COLD STORAGE (MPEDA #KL2/ME/061/16),AVLA COLD STORAGE,India,Kerala,CHEELANDIMUKU NEENDAKARA KOLLAM,CHEELANDIMUKU NEENDAKARA KOLLAM 691582 Kerala,8.95687,76.85274,1,"Kollam, India",,,varshaavla@gmail.com,04742770272,,approved,true,documentation_verified,MPEDA registered exporter #KL2/ME/061/16.
KL1/ME/496/23,BELL EXIM PRIVATE LIMITED (MPEDA #KL1/ME/496/23),BELL EXIM PRIVATE LIMITED,India,Kerala,COCHIN,"18/1553-A PALLICHAL ROAD THOPPUMPADY, COCHIN/682005 682005 Kerala",9.9315527,76.2645501,9,"Pallichal Road, Valummel, Kochi - 682029, Kerala, India",,,eximbell@gmail.com,914842232066,www.bellbrand.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/496/23.
KL1/ME/345/15,BLUE CREST FROZEN FOODS PVT LTD (MPEDA #KL1/ME/345/15),BLUE CREST FROZEN FOODS PVT LTD,India,Kerala,ERNAKULAM,"No.36/1920F, CHAMMANY COMPLEX SEBASTIAN ROAD, ERNAKULAM 682017 Kerala",9.9671,76.3031,7,"682017, Kerala, India",,,bluecrestfrozen@gmail.com,04782873337,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/345/15.
KL1/ME/263/11,BLUE SEA EXPORTS (MPEDA #KL1/ME/263/11),BLUE SEA EXPORTS,India,Kerala,TRINITY BUILDING THOPPUMPADY KOCHI,"18/2338 F, TRINITY BUILDING THOPPUMPADY KOCHI 682005 Kerala",9.9399,76.2602,7,"682005, Kerala, India",,,mailbluec@gmail.com,04844022381,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/263/11.
KL1/ME/494/23,BUFFET FUSION FOODS PRIVATE LIMITED (MPEDA #KL1/ME/494/23),BUFFET FUSION FOODS PRIVATE LIMITED,India,Kerala,COCHIN,"PLOT NO.9, DOOR NO. XXIV/1604, AMALGAM HOUSE, WILLINGDON ISLAND, COCHIN 682003 Kerala",9.93643,76.25383,9,"Willingdon Island, Kerala, India",,,tpgeorge@amalgamfoods.in,04842668680,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/494/23.
KL1/ME/069/05,CANAAN MARINE PRODUCTS (MPEDA #KL1/ME/069/05),CANAAN MARINE PRODUCTS,India,Kerala,AROOR,"AP/XIV-40, KELTRON ROAD, AROOR 688534 Kerala",9.7556,76.3278,7,"688534, Kerala, India",,,accountscanaan@gmail.com,04842327622,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/069/05.
KL1/ME/539/25,CHARISMA FOODS PRIVATE LIMITED (MPEDA #KL1/ME/539/25),CHARISMA FOODS PRIVATE LIMITED,India,Kerala,PANDIT COLONY KAUDIAR,"TC 4/1900-(5), PANDIT COLONY KAUDIAR 695003 Kerala",,,,,,,info@charismafoods.in,9400274400,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/539/25.
