approval_no,plant_name,company,address,town_region,country,activity,activity_type
PEF.7.0053.15,4 A LOGISTIC,4 A LOGISTIC,"DOUAR LAHFAYA, OULED HADDOU, COMMUNE DE BOUSKOURA, NOUACEUR,CASABLANCA",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PEF.25.0210.19,4 A LOGISTIC 2,4 A LOGISTIC 2,"Lot n° 81, Z I TASSILA III, TIKIOUINE- AGADIR",AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
4315,ACE MAREE,ACE MAREE,LOT 141 HO2 ZI SIDI GHANEM ROUTE DE SAFI MARRAKECH,MARRAKECH,Morocco,CONDITIONNEMENT DU POISSON FRAIS ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2918,AFRO PESCA MAROC,AFRO PESCA MAROC,N° 74 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
6047,AGADIR ICE,AGADIR ICE,PORT DE PECHE AGADIR PARCELLE N°247 AGADIR,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
6310,AGADIR OCEAN II,AGADIR OCEAN II,ZONE INDUSTRIELLE AIT MELLOUL BP 1640 AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.59.0098.16,AGRICOLD FRIGO OULED HRIZ,AGRICOLD FRIGO OULED HRIZ,QUARTIER INDUSTRIEL LOT N°2 ROUTE AIN SAYARNI BERCHID,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
4070,AL ALYA FISHERIES,AL ALYA FISHERIES,LOT 3 EX MATRAP AVABDRRAHIM BOUABID LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.48.0205.19,ALIDA SEAFOOD AND PROCESSING,ALIDA SEAFOOD AND PROCESSING,Zone d'activité économique Lot N°41 commune urbaine de Jerada,JERADA,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.46.6364.18,ALPHA POISSON,ALPHA POISSON,"KM, 7 ROUTE BERKANE -SAIDIA BERKANE",BERKANE,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.50.0223.19,ALTO MARE,ALTO MARE,"PORT DE PECHE DE BENI ENSAR, NADOR",NADOR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2682,AMADIR,AMADIR,"AV AHMED EL HIBA , LOT 855 ZONE INDUSTRIELLE AIT MELLOUL INZEGANE AGADIR",AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1657,AMAPEX,AMAPEX,PARCELLE 50 NOUVEAU PORT AGADIR 80000 AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
