approval_no,plant_name,company,address,town_region,country,activity,activity_type,latitude,longitude,geocode_confidence,geocode_formatted
PEF.7.0053.15,4 A LOGISTIC,4 A LOGISTIC,"DOUAR LAHFAYA, OULED HADDOU, COMMUNE DE BOUSKOURA, NOUACEUR,CASABLANCA",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,33.44976,-7.65239,8,"Bouskoura, Nouaceur, Morocco"
PEF.25.0210.19,4 A LOGISTIC 2,4 A LOGISTIC 2,"Lot n° 81, Z I TASSILA III, TIKIOUINE- AGADIR",AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
4315,ACE MAREE,ACE MAREE,LOT 141 HO2 ZI SIDI GHANEM ROUTE DE SAFI MARRAKECH,MARRAKECH,Morocco,CONDITIONNEMENT DU POISSON FRAIS ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",31.63416,-7.99994,6,"Marrakesh, Marrakech, Morocco"
2918,AFRO PESCA MAROC,AFRO PESCA MAROC,N° 74 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.18064,-13.06349,9,"Laayoune, Morocco"
6047,AGADIR ICE,AGADIR ICE,PORT DE PECHE AGADIR PARCELLE N°247 AGADIR,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
6310,AGADIR OCEAN II,AGADIR OCEAN II,ZONE INDUSTRIELLE AIT MELLOUL BP 1640 AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PEF.59.0098.16,AGRICOLD FRIGO OULED HRIZ,AGRICOLD FRIGO OULED HRIZ,QUARTIER INDUSTRIEL LOT N°2 ROUTE AIN SAYARNI BERCHID,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,33.58831,-7.61138,6,"Casablanca, Morocco"
4070,AL ALYA FISHERIES,AL ALYA FISHERIES,LOT 3 EX MATRAP AVABDRRAHIM BOUABID LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.18064,-13.06349,9,"Laayoune, Morocco"
PP.48.0205.19,ALIDA SEAFOOD AND PROCESSING,ALIDA SEAFOOD AND PROCESSING,Zone d'activité économique Lot N°41 commune urbaine de Jerada,JERADA,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",34.31,-2.16,9,"Jerada, Morocco"
PP.46.6364.18,ALPHA POISSON,ALPHA POISSON,"KM, 7 ROUTE BERKANE -SAIDIA BERKANE",BERKANE,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.08348,-2.24115,9,"Saidia, Berkane-Taourirt, Morocco"
PP.50.0223.19,ALTO MARE,ALTO MARE,"PORT DE PECHE DE BENI ENSAR, NADOR",NADOR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.16813,-2.93352,7,"Nador, Morocco"
2682,AMADIR,AMADIR,"AV AHMED EL HIBA , LOT 855 ZONE INDUSTRIELLE AIT MELLOUL INZEGANE AGADIR",AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.33729,-9.49783,9,"Ait Melloul, Inezgane-Ait Mellou, Morocco"
1657,AMAPEX,AMAPEX,PARCELLE 50 NOUVEAU PORT AGADIR 80000 AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.60.0192.18,ANASS PESCA,ANASS PESCA,PORT DE MEHDIA KENITRA,KENITRA,Morocco,SALAISON DES ANCHOIS EN FUTS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",34.2715531,-6.6446354,9,"Kasbat el Mehdia, Mehdya, باشوية المهدية, Morocco"
PP.27.2171.21,ANDREXPORT,ANDREXPORT,44 AV MED LQBAL BIOUGRA AIT BAHA AGADIR,AGADIR,Morocco,MATURATION ET STOCKAGE DES POISSONS SAL2S,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
3718,ANDREXPORT II,ANDREXPORT II,ZONE INDUSTRIELLE D'AIT MELLOUL N° 638 BIS AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
3416,ANOL,ANOL,QI ANZA AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.34.0188.18,ANTIPASTI-MED,ANTIPASTI-MED,"ZONE FRANCHE , SECTEUR B1, LOT N°2 , TANGER",TANGER,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
