NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
4 A LOGISTIC,"DOUAR LAHFAYA, OULED HADDOU, COMMUNE DE BOUSKOURA, NOUACEUR,CASABLANCA",CASABLANCA,PEF.7.0053.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
4 A LOGISTIC 2,"Lot n° 81, Z I TASSILA III, TIKIOUINE- AGADIR",AGADIR,PEF.25.0210.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ACE MAREE,LOT 141 HO2 ZI SIDI GHANEM ROUTE DE SAFI MARRAKECH,MARRAKECH,4315,CONDITIONNEMENT DU POISSON FRAIS ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
AFRO PESCA MAROC,N° 74 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,2918,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
AGADIR ICE,PORT DE PECHE AGADIR PARCELLE N°247 AGADIR,AGADIR,6047,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
AGADIR OCEAN II,ZONE INDUSTRIELLE AIT MELLOUL BP 1640 AGADIR,AGADIR,6310,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
AGRICOLD FRIGO OULED HRIZ,QUARTIER INDUSTRIEL LOT N°2 ROUTE AIN SAYARNI BERCHID,CASABLANCA,PEF.59.0098.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
AL ALYA FISHERIES,LOT 3 EX MATRAP AVABDRRAHIM BOUABID LAAYOUNE,LAAYOUNE,4070,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ALIDA SEAFOOD AND PROCESSING,Zone d'activité économique Lot N°41 commune urbaine de Jerada,JERADA,PP.48.0205.19,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ALPHA POISSON,"KM, 7 ROUTE BERKANE -SAIDIA BERKANE",BERKANE,PP.46.6364.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ALTO MARE,"PORT DE PECHE DE BENI ENSAR, NADOR",NADOR,PP.50.0223.19,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
