entity_id,field,value,source_url,source_title,source_type,access_date,evidence_snippet,confidence
"A51","plant_name","Fjordfisk As   Son Fiskemottak","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A51","address","Storgata 23, 1555.0 Son, Norway","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A51","scope","FFPP","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A232","plant_name","Mowi Logistics","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A232","address","Kurillvegen 8, 2060.0 Gardermoen, Norway","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A232","scope","RW","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A234","plant_name","Faun Pharma As","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A234","address","Støttumveien 9, 1543.0 Vestby, Norway","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A234","scope","PP-MA","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
"A240","plant_name","Norway King Crab Hub As","https://mattilsynet-xp7prod.enonic.cloud/_/attachment/inline/1af0e9c5-8719-4cf9-91bf-ce19a4c2f078:c74c2aef3953ae9771fec07df63b9298f7c7c6ca/v_virklist_fishery_establishements.csv","Norway fishery establishments (Mattilsynet)","regulator","2026-02-10","Mattilsynet fishery establishments list","HIGH"
