approval_no,plant_name,company,address,town_region,country,scope,expiry_date,business_no
A51,Fjordfisk As   Son Fiskemottak,Fjordfisk As   Son Fiskemottak,"Storgata 23, 1555.0 Son, Norway",Son,Norway,FFPP,,915067506.0
A232,Mowi Logistics,Mowi Logistics,"Kurillvegen 8, 2060.0 Gardermoen, Norway",Gardermoen,Norway,RW,,993493791.0
A234,Faun Pharma As,Faun Pharma As,"Støttumveien 9, 1543.0 Vestby, Norway",Vestby,Norway,PP-MA,,983386156.0
A240,Norway King Crab Hub As,Norway King Crab Hub As,"Industrivegen 27, 2166.0 Oppaker, Norway",Oppaker,Norway,PP-C,,914075890.0
A241,Alimenta As Avd Produksjon,Alimenta As Avd Produksjon,"Jeksleveien 2, 2016.0 Frogner, Norway",Frogner,Norway,RW,,926457896.0
A242,Vitalis Pharma,Vitalis Pharma,"Drengsrudhagen 6, 1385.0 Asker, Norway",Asker,Norway,PP-MA,,821099412.0
A244,Sanomega E&E As,Sanomega E&E As,"Sagaveien 50, 1555.0 Son, Norway",Son,Norway,PP-MA,,932869624.0
A245,Maskinpakking As,Maskinpakking As,"Johan Follestads Vei 18, 3474.0 Åros, Norway",Åros,Norway,RW,,974092557.0
A246,Oslo Salmon Processing As Avd. Gardemoen,Oslo Salmon Processing As Avd. Gardemoen,"Maren Furulunds Veg 20b, 2060.0 Gardermoen, Norway",Gardermoen,Norway,FFPP-P,,936316611.0
AA61,Fiskernes Salgslag,Fiskernes Salgslag,"Storg 2, 4876.0 Grimstad, Norway",Grimstad,Norway,"FFPP, FFPP-P",,971687347.0
AA74,Arendal Fiskemottak As,Arendal Fiskemottak As,"Kystveien 28, 4841.0 Arendal, Norway",Arendal,Norway,"FFPP, FFPP-P",,983597564.0
AA202,Ferdigmat As,Ferdigmat As,"Holmen 6, 4842.0 Arendal, Norway",Arendal,Norway,PP,,971783176.0
AA415,Eco Marine As,Eco Marine As,"Langodden 14, 4816.0 Kolbjørnsvik, Norway",Kolbjørnsvik,Norway,PP-MA,,993907367.0
AA447,Hos Oss Lillesand As,Hos Oss Lillesand As,"Havnegata 3, 4790.0 Lillesand, Norway",Lillesand,Norway,"FFPP, PP",,919335068.0
AG2,Maxi Catering As,Maxi Catering As,"Stålveien 9, 4629.0 Kristiansand S, Norway",Kristiansand S,Norway,PP,,924803096.0
