approval_no,name,company_name,country,region,city,address,latitude,longitude,geocode_confidence,geocode_formatted,scope,primary_species,email,phone,website,business_no,status,verified,verification_level,admin_notes
A51,Fjordfisk As   Son Fiskemottak (Mattilsynet #A51),Fjordfisk As   Son Fiskemottak,Norway,,Son,"Storgata 23, 1555 Son, Norway",59.523989,10.686404,10,"Storgata 23, 1555 Son, Norway",FFPP,,,,,915067506,approved,true,documentation_verified,Mattilsynet approved establishment #A51. Scope: Fresh fishery products processing. Business #915067506.
A232,Mowi Logistics (Mattilsynet #A232),Mowi Logistics,Norway,,Gardermoen,"Kurillvegen 8, 2060 Gardermoen, Norway",60.175377,11.133497,10,"Kurillvegen 8, 2060 Gardermoen, Norway",RW,,,,,993493791,approved,true,documentation_verified,Mattilsynet approved establishment #A232. Scope: Rewrapping/relabelling. Business #993493791.
A234,Faun Pharma As (Mattilsynet #A234),Faun Pharma As,Norway,,Vestby,"Støttumveien 9, 1543 Vestby, Norway",59.605947,10.750712,10,"Støttumveien 9B, 1543 Vestby, Norway",PP-MA,,,,,983386156,approved,true,documentation_verified,Mattilsynet approved establishment #A234. Scope: Processing plant - marine animal products. Business #983386156.
A240,Norway King Crab Hub As (Mattilsynet #A240),Norway King Crab Hub As,Norway,,Oppaker,"Industrivegen 27, 2166 Oppaker, Norway",60.190479,11.545815,10,"Industrivegen 27, 2166 Oppaker, Norway",PP-C,,,,,914075890,approved,true,documentation_verified,Mattilsynet approved establishment #A240. Scope: Processing plant - crustacean. Business #914075890.
A241,Alimenta As Avd Produksjon (Mattilsynet #A241),Alimenta As Avd Produksjon,Norway,,Frogner,"Jeksleveien 2, 2016 Frogner, Norway",60.040379,11.12043,10,"Jeksleveien 2, 2016 Frogner, Norway",RW,,,,,926457896,approved,true,documentation_verified,Mattilsynet approved establishment #A241. Scope: Rewrapping/relabelling. Business #926457896.
A242,Vitalis Pharma (Mattilsynet #A242),Vitalis Pharma,Norway,,Asker,"Drengsrudhagen 6, 1385 Asker, Norway",59.8248152,10.401294,10,"Drengsrudhagen 6, 1385 Asker, Norway",PP-MA,,,,,821099412,approved,true,documentation_verified,Mattilsynet approved establishment #A242. Scope: Processing plant - marine animal products. Business #821099412.
A244,Sanomega E&E As (Mattilsynet #A244),Sanomega E&E As,Norway,,Son,"Sagaveien 50, 1555 Son, Norway",59.5245067,10.6887706,10,"Sagaveien 50, 1555 Son, Norway",PP-MA,,,,,932869624,approved,true,documentation_verified,Mattilsynet approved establishment #A244. Scope: Processing plant - marine animal products. Business #932869624.
A245,Maskinpakking As (Mattilsynet #A245),Maskinpakking As,Norway,,Åros,"Johan Follestads Vei 18, 3474 Åros, Norway",59.695543,10.492434,10,"Johan Follestads vei 18, 3474 Åros, Norway",RW,,,,,974092557,approved,true,documentation_verified,Mattilsynet approved establishment #A245. Scope: Rewrapping/relabelling. Business #974092557.
A246,Oslo Salmon Processing As Avd. Gardemoen (Mattilsynet #A246),Oslo Salmon Processing As Avd. Gardemoen,Norway,,Gardermoen,"Maren Furulunds Veg 20b, 2060 Gardermoen, Norway",60.174736,11.136295,10,"Maren Furulunds veg 20B, 2060 Gardermoen, Norway",FFPP-P,,,,,936316611,approved,true,documentation_verified,Mattilsynet approved establishment #A246. Scope: Fresh fishery products processing - pelagic. Business #936316611.
AA61,Fiskernes Salgslag (Mattilsynet #AA61),Fiskernes Salgslag,Norway,,Grimstad,"Storg 2, 4876 Grimstad, Norway",58.3405,8.5934,7,"4876 Nordland, Norway","FFPP, FFPP-P",,,,,971687347,approved,true,documentation_verified,"Mattilsynet approved establishment #AA61. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic. Business #971687347."
AA74,Arendal Fiskemottak As (Mattilsynet #AA74),Arendal Fiskemottak As,Norway,,Arendal,"Kystveien 28, 4841 Arendal, Norway",58.461733,8.777141,10,"Kystveien 28, 4841 Arendal, Norway","FFPP, FFPP-P",,,,,983597564,approved,true,documentation_verified,"Mattilsynet approved establishment #AA74. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic. Business #983597564."
AA202,Ferdigmat As (Mattilsynet #AA202),Ferdigmat As,Norway,,Arendal,"Holmen 6, 4842 Arendal, Norway",58.4713264,8.7982881,10,"Holmen 6, 4842 Arendal, Norway",PP,,,,,971783176,approved,true,documentation_verified,Mattilsynet approved establishment #AA202. Scope: Processing plant. Business #971783176.
AA415,Eco Marine As (Mattilsynet #AA415),Eco Marine As,Norway,,Kolbjørnsvik,"Langodden 14, 4816 Kolbjørnsvik, Norway",58.4475694,8.7757749,10,"Langodden 14, 4816 Kolbjørnsvik, Norway",PP-MA,,,,,993907367,approved,true,documentation_verified,Mattilsynet approved establishment #AA415. Scope: Processing plant - marine animal products. Business #993907367.
AA447,Hos Oss Lillesand As (Mattilsynet #AA447),Hos Oss Lillesand As,Norway,,Lillesand,"Havnegata 3, 4790 Lillesand, Norway",58.2477141,8.3779554,10,"Havnegata 3, 4790 Lillesand, Norway","FFPP, PP",,,,,919335068,approved,true,documentation_verified,"Mattilsynet approved establishment #AA447. Scope: Fresh fishery products processing, Processing plant. Business #919335068."
AG2,Maxi Catering As (Mattilsynet #AG2),Maxi Catering As,Norway,,Kristiansand S,"Stålveien 9, 4629 Kristiansand S, Norway",58.1465135,7.9599529,10,"Stålveien 9, 4629 Kristiansand, Norway",PP,,,,,924803096,approved,true,documentation_verified,Mattilsynet approved establishment #AG2. Scope: Processing plant. Business #924803096.
AG8,Fjord Service Flekkefjord As (Mattilsynet #AG8),Fjord Service Flekkefjord As,Norway,,Flekkefjord,"Abelnes 60, 4404 Flekkefjord, Norway",58.238769,6.655206,10,"Abelnes 60, 4404 Flekkefjord, Norway",FFPP-SA,,,,,916646410,approved,true,documentation_verified,Mattilsynet approved establishment #AG8. Scope: Fresh fishery products processing - salmon/aquaculture. Business #916646410.
AG10,Nødings Delikatesse (Mattilsynet #AG10),Nødings Delikatesse,Norway,,Mandal,"Sommerkroveien 5a, 4515 Mandal, Norway",58.026739,7.473829,10,"Sommerkroveien 5A, 4515 Mandal, Norway",FFPP-P,,,,,982958792,approved,true,documentation_verified,Mattilsynet approved establishment #AG10. Scope: Fresh fishery products processing - pelagic. Business #982958792.
AG18,Sirdal Stun As (Mattilsynet #AG18),Sirdal Stun As,Norway,,Tonstad,"Tonstadveien 9, 4440 Tonstad, Norway",58.6673065,6.7160264,10,"Tonstadveien 9, 4440 Tonstad, Norway",FFPP-SA,,,,,928697029,approved,true,documentation_verified,Mattilsynet approved establishment #AG18. Scope: Fresh fishery products processing - salmon/aquaculture. Business #928697029.
AG20,Domstein Sjømat As Avd Kristiansand (Mattilsynet #AG20),Domstein Sjømat As Avd Kristiansand,Norway,,Flekkerøy,"Østerøya 242, 4625 Flekkerøy, Norway",58.0780535,8.0136497,10,"Østerøya 242, 4625 Flekkerøy, Norway",FFPP,,,,,979195095,approved,true,documentation_verified,Mattilsynet approved establishment #AG20. Scope: Fresh fishery products processing. Business #979195095.
AG28,Rtka As (Mattilsynet #AG28),Rtka As,Norway,,Risør,"Hestemyrveien 24, 4950 Risør, Norway",58.713776,9.174089,10,"Hestemyrveien 24B, 4950 Risør, Norway",RW,,,,,930926957,approved,true,documentation_verified,Mattilsynet approved establishment #AG28. Scope: Rewrapping/relabelling. Business #930926957.
AG31,Sørlandskrabbe Avd Hæstad (Mattilsynet #AG31),Sørlandskrabbe Avd Hæstad,Norway,,Høvåg,"Kastoddveien 32, 4770 Høvåg, Norway",58.1699,8.2474,7,"4770 Nordland, Norway",PP-C,,,,,927414651,approved,true,documentation_verified,Mattilsynet approved establishment #AG31. Scope: Processing plant - crustacean. Business #927414651.
